Date,Sunrise,Sunset,Daylength,
7/30/23,6:11:40 AM,8:19:29 PM,14h 7m 49s,
7/31/23,6:12:31 AM,8:18:32 PM,14h 6m 1s,
8/1/23,6:13:22 AM,8:17:33 PM,14h 4m 11s,
8/2/23,6:14:13 AM,8:16:33 PM,14h 2m 20s,
8/3/23,6:15:04 AM,8:15:31 PM,14h 0m 27s,
8/4/23,6:15:55 AM,8:14:28 PM,13h 58m 33s,
8/5/23,6:16:47 AM,8:13:24 PM,13h 56m 37s,
8/6/23,6:17:38 AM,8:12:18 PM,13h 54m 40s,
8/7/23,6:18:30 AM,8:11:11 PM,13h 52m 41s,
8/8/23,6:19:21 AM,8:10:03 PM,13h 50m 42s,
8/9/23,6:20:13 AM,8:08:53 PM,13h 48m 40s,
8/10/23,6:21:05 AM,8:07:43 PM,13h 46m 38s,
8/11/23,6:21:57 AM,8:06:31 PM,13h 44m 34s,
8/12/23,6:22:49 AM,8:05:18 PM,13h 42m 29s,
8/13/23,6:23:40 AM,8:04:04 PM,13h 40m 24s,
8/14/23,6:24:32 AM,8:02:49 PM,13h 38m 17s,
8/15/23,6:25:24 AM,8:01:33 PM,13h 36m 9s,
8/16/23,6:26:16 AM,8:00:16 PM,13h 34m 0s,
8/17/23,6:27:08 AM,7:58:58 PM,13h 31m 50s,
8/18/23,6:27:59 AM,7:57:39 PM,13h 29m 40s,
8/19/23,6:28:51 AM,7:56:19 PM,13h 27m 28s,
8/20/23,6:29:42 AM,7:54:58 PM,13h 25m 16s,
8/21/23,6:30:34 AM,7:53:37 PM,13h 23m 3s,
8/22/23,6:31:25 AM,7:52:14 PM,13h 20m 49s,
8/23/23,6:32:17 AM,7:50:51 PM,13h 18m 34s,
8/24/23,6:33:08 AM,7:49:27 PM,13h 16m 19s,
8/25/23,6:33:59 AM,7:48:02 PM,13h 14m 3s,
8/26/23,6:34:50 AM,7:46:37 PM,13h 11m 47s,
8/27/23,6:35:42 AM,7:45:10 PM,13h 9m 28s,
8/28/23,6:36:33 AM,7:43:43 PM,13h 7m 10s,
8/29/23,6:37:23 AM,7:42:16 PM,13h 4m 53s,
8/30/23,6:38:14 AM,7:40:48 PM,13h 2m 34s,
8/31/23,6:39:05 AM,7:39:19 PM,13h 0m 14s,
9/1/23,6:39:56 AM,7:37:50 PM,12h 57m 54s,
9/2/23,6:40:47 AM,7:36:20 PM,12h 55m 33s,
9/3/23,6:41:37 AM,7:34:50 PM,12h 53m 13s,
9/4/23,6:42:28 AM,7:33:20 PM,12h 50m 52s,
9/5/23,6:43:18 AM,7:31:49 PM,12h 48m 31s,
9/6/23,6:44:09 AM,7:30:17 PM,12h 46m 8s,
9/7/23,6:45:00 AM,7:28:46 PM,12h 43m 46s,
9/8/23,6:45:50 AM,7:27:13 PM,12h 41m 23s,
9/9/23,6:46:41 AM,7:25:41 PM,12h 39m 0s,
9/10/23,6:47:31 AM,7:24:08 PM,12h 36m 37s,
9/11/23,6:48:22 AM,7:22:36 PM,12h 34m 14s,
9/12/23,6:49:12 AM,7:21:02 PM,12h 31m 50s,
9/13/23,6:50:03 AM,7:19:29 PM,12h 29m 26s,
9/14/23,6:50:53 AM,7:17:56 PM,12h 27m 3s,
9/15/23,6:51:44 AM,7:16:22 PM,12h 24m 38s,
9/16/23,6:52:35 AM,7:14:49 PM,12h 22m 14s,
9/17/23,6:53:26 AM,7:13:15 PM,12h 19m 49s,
9/18/23,6:54:17 AM,7:11:41 PM,12h 17m 24s,
9/19/23,6:55:08 AM,7:10:07 PM,12h 14m 59s,
9/20/23,6:55:59 AM,7:08:34 PM,12h 12m 35s,
9/21/23,6:56:50 AM,7:07:00 PM,12h 10m 10s,
9/22/23,6:57:41 AM,7:05:26 PM,12h 7m 45s,
9/23/23,6:58:33 AM,7:03:53 PM,12h 5m 20s,
9/24/23,6:59:25 AM,7:02:19 PM,12h 2m 54s,
9/25/23,7:00:17 AM,7:00:46 PM,12h 0m 29s,
9/26/23,7:01:09 AM,6:59:13 PM,11h 58m 4s,
9/27/23,7:02:01 AM,6:57:40 PM,11h 55m 39s,
9/28/23,7:02:53 AM,6:56:08 PM,11h 53m 15s,
9/29/23,7:03:46 AM,6:54:36 PM,11h 50m 50s,
9/30/23,7:04:39 AM,6:53:04 PM,11h 48m 25s,
10/1/23,7:05:32 AM,6:51:32 PM,11h 46m 0s,
10/2/23,7:06:25 AM,6:50:01 PM,11h 43m 36s,
10/3/23,7:07:19 AM,6:48:30 PM,11h 41m 11s,
10/4/23,7:08:13 AM,6:47:00 PM,11h 38m 47s,
10/5/23,7:09:07 AM,6:45:30 PM,11h 36m 23s,
10/6/23,7:10:01 AM,6:44:01 PM,11h 34m 0s,
10/7/23,7:10:56 AM,6:42:32 PM,11h 31m 36s,
10/8/23,7:11:51 AM,6:41:03 PM,11h 29m 12s,
10/9/23,7:12:46 AM,6:39:36 PM,11h 26m 50s,
10/10/23,7:13:42 AM,6:38:09 PM,11h 24m 27s,
10/11/23,7:14:38 AM,6:36:42 PM,11h 22m 4s,
10/12/23,7:15:34 AM,6:35:17 PM,11h 19m 43s,
10/13/23,7:16:31 AM,6:33:52 PM,11h 17m 21s,
10/14/23,7:17:28 AM,6:32:27 PM,11h 14m 59s,
10/15/23,7:18:25 AM,6:31:04 PM,11h 12m 39s,
10/16/23,7:19:23 AM,6:29:41 PM,11h 10m 18s,
10/17/23,7:20:21 AM,6:28:19 PM,11h 7m 58s,
10/18/23,7:21:19 AM,6:26:58 PM,11h 5m 39s,
10/19/23,7:22:18 AM,6:25:38 PM,11h 3m 20s,
10/20/23,7:23:17 AM,6:24:19 PM,11h 1m 2s,
10/21/23,7:24:16 AM,6:23:01 PM,10h 58m 45s,
10/22/23,7:25:16 AM,6:21:44 PM,10h 56m 28s,
10/23/23,7:26:16 AM,6:20:28 PM,10h 54m 12s,
10/24/23,7:27:16 AM,6:19:13 PM,10h 51m 57s,
10/25/23,7:28:17 AM,6:17:59 PM,10h 49m 42s,
10/26/23,7:29:18 AM,6:16:47 PM,10h 47m 29s,
10/27/23,7:30:19 AM,6:15:35 PM,10h 45m 16s,
10/28/23,7:31:21 AM,6:14:25 PM,10h 43m 4s,
10/29/23,7:32:23 AM,6:13:16 PM,10h 40m 53s,
10/30/23,7:33:25 AM,6:12:08 PM,10h 38m 43s,
10/31/23,7:34:27 AM,6:11:02 PM,10h 36m 35s,
11/1/23,7:35:30 AM,6:09:57 PM,10h 34m 27s,
11/2/23,7:36:33 AM,6:08:53 PM,10h 32m 20s,
11/3/23,7:37:36 AM,6:07:51 PM,10h 30m 15s,
11/4/23,7:38:40 AM,6:06:50 PM,10h 28m 10s,
11/5/23,6:39:46 AM,5:05:48 PM,10h 26m 2s,
11/6/23,6:40:49 AM,5:04:50 PM,10h 24m 1s,
11/7/23,6:41:53 AM,5:03:54 PM,10h 22m 1s,
11/8/23,6:42:57 AM,5:02:59 PM,10h 20m 2s,
11/9/23,6:44:01 AM,5:02:06 PM,10h 18m 5s,
11/10/23,6:45:05 AM,5:01:15 PM,10h 16m 10s,
11/11/23,6:46:09 AM,5:00:25 PM,10h 14m 16s,
11/12/23,6:47:14 AM,4:59:37 PM,10h 12m 23s,
11/13/23,6:48:18 AM,4:58:51 PM,10h 10m 33s,
11/14/23,6:49:22 AM,4:58:06 PM,10h 8m 44s,
11/15/23,6:50:26 AM,4:57:23 PM,10h 6m 57s,
11/16/23,6:51:29 AM,4:56:42 PM,10h 5m 13s,
11/17/23,6:52:33 AM,4:56:03 PM,10h 3m 30s,
11/18/23,6:53:36 AM,4:55:26 PM,10h 1m 50s,
11/19/23,6:54:39 AM,4:54:51 PM,10h 0m 12s,
11/20/23,6:55:42 AM,4:54:17 PM,9h 58m 35s,
11/21/23,6:56:45 AM,4:53:46 PM,9h 57m 1s,
11/22/23,6:57:47 AM,4:53:16 PM,9h 55m 29s,
11/23/23,6:58:48 AM,4:52:49 PM,9h 54m 1s,
11/24/23,6:59:50 AM,4:52:23 PM,9h 52m 33s,
11/25/23,7:00:50 AM,4:52:00 PM,9h 51m 10s,
11/26/23,7:01:50 AM,4:51:38 PM,9h 49m 48s,
11/27/23,7:02:50 AM,4:51:19 PM,9h 48m 29s,
11/28/23,7:03:49 AM,4:51:02 PM,9h 47m 13s,
11/29/23,7:04:47 AM,4:50:46 PM,9h 45m 59s,
11/30/23,7:05:44 AM,4:50:33 PM,9h 44m 49s,
12/1/23,7:06:41 AM,4:50:22 PM,9h 43m 41s,
12/2/23,7:07:36 AM,4:50:13 PM,9h 42m 37s,
12/3/23,7:08:31 AM,4:50:06 PM,9h 41m 35s,
12/4/23,7:09:25 AM,4:50:02 PM,9h 40m 37s,
12/5/23,7:10:17 AM,4:49:59 PM,9h 39m 42s,
12/6/23,7:11:09 AM,4:49:59 PM,9h 38m 50s,
12/7/23,7:12:00 AM,4:50:00 PM,9h 38m 0s,
12/8/23,7:12:49 AM,4:50:04 PM,9h 37m 15s,
12/9/23,7:13:37 AM,4:50:10 PM,9h 36m 33s,
12/10/23,7:14:24 AM,4:50:18 PM,9h 35m 54s,
12/11/23,7:15:09 AM,4:50:28 PM,9h 35m 19s,
12/12/23,7:15:54 AM,4:50:40 PM,9h 34m 46s,
12/13/23,7:16:36 AM,4:50:54 PM,9h 34m 18s,
12/14/23,7:17:18 AM,4:51:11 PM,9h 33m 53s,
12/15/23,7:17:57 AM,4:51:29 PM,9h 33m 32s,
12/16/23,7:18:35 AM,4:51:49 PM,9h 33m 14s,
12/17/23,7:19:12 AM,4:52:11 PM,9h 32m 59s,
12/18/23,7:19:47 AM,4:52:36 PM,9h 32m 49s,
12/19/23,7:20:20 AM,4:53:02 PM,9h 32m 42s,
12/20/23,7:20:52 AM,4:53:30 PM,9h 32m 38s,
